review,sentiment_label,confidence
类似于好特卖，在路边，正好路过进去逛逛！和好特卖的东西差不多，价格定位也差不多，各种各样的零食，小孩子的天堂！辣条，薯片，各种膨化食品，糖果，饮料等等，应有尽有，还有冷藏区的冰淇淋水饺类的冻制品，基本都有！逛了一圈买了很多，小朋友超级开心！,positive (stars 4 and 5),0.9935
好像是新开的店，第一次发现，好大一个周董的头像明黄色的招牌超级亮眼啊。之前网上有活动，1分钱换奶茶，就过来看一下顺利兑换到奶茶，发现店里真的有很多零食，饮料的品种也很多，可乐雪碧价格也很美好，于是就都随便买了点。,positive (stars 4 and 5),0.9936
来了很多次，缺零食我就去买，还是一如既往的一大兜子，买回来放在架子上感觉看着特别舒服，饿的时候有选择性，他家服务还可以，货品也特别多，有的东西找不到问服务员，回答也热情，环境也不错，摆放整齐，也归类特别好找。,positive (stars 4 and 5),0.9916
路过总是忍不住来一点，玲琅满目的,positive (stars 4 and 5),0.9853
现在零食店也有很多了 这家也算开了蛮久了 生意还算不错 在网路购物盛行的时代 也算不容易 品种基本都是各类小食和饮料 价格略实惠 很适合在家里备着一点追剧时候吃 哈哈 进去扫了一眼 没啥适合健身人士的 悻悻的出来了 周董代言的,positive (stars 4 and 5),0.9912
"小朋友很喜欢逛的一家店，黄色的小推车选择自己喜欢吃的。暖气开的也足、就是地方还是小了一点 ，人多的时候走不过来
里面的东西都比超市便宜很多，可以少量购买尝试，没月7号会员日还8.8折，我错过了，简直不要太划算。以后固定7号再去了[捂脸][捂脸]感觉损失一个亿哈哈哈哈。",positive (stars 4 and 5),0.9896
位置在四川北路门面挺大很显眼 门口停车的地方也很宽裕 买的零食 饮料种类挺全面的在零食店买些零食挺划算的买多了也不心疼，有时候下午去的时候还得排队晚上下班去的时候人也挺多热度还是挺高的 [强]买的东西性价比还不错,positive (stars 4 and 5),0.9918
"环境：明亮宽敞
服务：忙忙忙

口味：品种多
性价比：高",positive (stars 4 and 5),0.9904
零食都还是可以的，但门店只有1个服务生负责收银，真的队伍比较长 东西也多……,positive (stars 4 and 5),0.7469
开在四川北路中心地段的零食很忙真是喜欢零食的福音！店铺很大里面有各种零食，从饼干到零食坚果可以零卖，小袋装的性价比很高，选了点坚果小包装，牛奶也可以一盒一盒卖，没吃早餐可以选几个小面包外加一盒牛奶，一顿早餐就搞定了，小朋友可以每个产品都选几个种类也多！,positive (stars 4 and 5),0.9937
